Date,Gold_Close,Nickel_Close
2012-03-02,1708.800048828125,3083.1162109375
2012-03-05,1703.0,3018.435302734375
2012-03-06,1671.4000244140625,2975.31494140625
2012-03-07,1683.300048828125,2953.75439453125
2012-03-08,1698.0999755859375,2996.87548828125
2012-03-09,1710.9000244140625,2953.75439453125
2012-03-12,1699.199951171875,3018.435302734375
2012-03-13,1693.699951171875,3039.995849609375
2012-03-14,1642.5,3083.1162109375
2012-03-15,1659.0999755859375,3018.435302734375
2012-03-16,1655.5,2975.31494140625
2012-03-19,1666.9000244140625,2889.07421875
2012-03-20,1646.699951171875,2867.513671875
2012-03-21,1650.0,2910.634033203125
2012-03-22,1642.300048828125,2910.634033203125
2012-03-23,1662.300048828125,
2012-03-26,1685.5,2845.953369140625
2012-03-27,1684.800048828125,2910.634033203125
2012-03-28,1657.9000244140625,2889.07421875
2012-03-29,1652.199951171875,2889.07421875
2012-03-30,1669.300048828125,2910.634033203125
2012-04-02,1677.5,2910.634033203125
2012-04-03,1670.0,2910.634033203125
2012-04-04,1612.300048828125,2845.953369140625
2012-04-05,1628.5,2802.832763671875
2012-04-09,1642.5,2781.27294921875
2012-04-10,1659.5,2824.393310546875
2012-04-11,1659.0,2781.27294921875
2012-04-12,1679.5,2738.152099609375
2012-04-13,1659.0999755859375,2738.152099609375
2012-04-16,1648.699951171875,2738.152099609375
2012-04-17,1650.300048828125,2695.03173828125
2012-04-18,1638.800048828125,2716.59228515625
2012-04-19,1640.5999755859375,2781.27294921875
2012-04-20,1642.0999755859375,2759.71240234375
2012-04-23,1631.9000244140625,2695.03173828125
2012-04-24,1643.0,2695.03173828125
2012-04-25,1641.4000244140625,2673.471923828125
2012-04-26,1659.5999755859375,2630.350830078125
2012-04-27,1664.0,2673.471923828125
2012-04-30,1663.4000244140625,2673.471923828125
2012-05-01,1661.699951171875,2673.471923828125
2012-05-02,1653.4000244140625,2673.471923828125
2012-05-03,1634.199951171875,2630.350830078125
2012-05-04,1644.699951171875,2587.230224609375
2012-05-07,1638.5999755859375,2522.5498046875
2012-05-08,1604.0,2457.868896484375
2012-05-09,1593.699951171875,2350.06787109375
2012-05-10,1595.0999755859375,2414.748046875
2012-05-11,1583.5999755859375,2328.50732421875
2012-05-14,1560.5999755859375,2285.38671875
2012-05-15,1556.800048828125,2288.562744140625
2012-05-16,1536.199951171875,2199.686767578125
2012-05-17,1574.5,
2012-05-18,1591.5999755859375,
2012-05-21,1588.4000244140625,2110.810546875
2012-05-22,1576.300048828125,2244.124755859375
2012-05-23,1548.0999755859375,2221.9052734375
2012-05-24,1557.300048828125,2221.9052734375
2012-05-25,1568.800048828125,2199.686767578125
2012-05-28,,2177.467529296875
2012-05-29,1548.5999755859375,2177.467529296875
2012-05-30,1563.4000244140625,2110.810546875
2012-05-31,1562.5999755859375,2221.9052734375
2012-06-01,1620.5,2110.810546875
2012-06-04,1612.199951171875,2066.3720703125
2012-06-05,1615.199951171875,2110.810546875
2012-06-06,1632.800048828125,2177.467529296875
2012-06-07,1586.5999755859375,2177.467529296875
2012-06-08,1590.0999755859375,2177.467529296875
2012-06-11,1595.5,2288.562744140625
2012-06-12,1612.699951171875,2266.34375
2012-06-13,1618.0999755859375,2199.686767578125
2012-06-14,1618.4000244140625,2110.810546875
2012-06-15,1627.0,2066.3720703125
2012-06-18,1625.699951171875,2088.59130859375
2012-06-19,1622.199951171875,2199.686767578125
2012-06-20,1614.800048828125,2333.0009765625
2012-06-21,1564.5,2333.0009765625
2012-06-22,1566.0,2221.9052734375
2012-06-25,1587.5,2155.24853515625
2012-06-26,1574.0,2199.686767578125
2012-06-27,1577.5,2221.9052734375
2012-06-28,1549.699951171875,2221.9052734375
2012-06-29,1603.5,2377.438720703125
2012-07-02,1597.199951171875,2577.410400390625
2012-07-03,1621.300048828125,2510.753662109375
2012-07-04,,2532.97216796875
2012-07-05,1608.9000244140625,2488.5341796875
2012-07-06,1578.4000244140625,2488.5341796875
2012-07-09,1588.5999755859375,2377.438720703125
2012-07-10,1579.300048828125,2399.657958984375
2012-07-11,1575.199951171875,2444.09619140625
2012-07-12,1564.9000244140625,2399.657958984375
2012-07-13,1591.5999755859375,2399.657958984375
2012-07-16,1591.199951171875,2399.657958984375
2012-07-17,1589.0999755859375,2444.09619140625
2012-07-18,1570.4000244140625,2399.657958984375
2012-07-19,1580.0999755859375,2377.438720703125
2012-07-20,1582.5,2377.438720703125
2012-07-23,1577.0999755859375,2288.562744140625
2012-07-24,1576.0,2266.34375
2012-07-25,1608.0,2199.686767578125
2012-07-26,1615.0,2155.24853515625
2012-07-27,1617.9000244140625,2266.34375
2012-07-30,1619.699951171875,2244.124755859375
2012-07-31,1610.5,2155.24853515625
2012-08-01,1603.699951171875,2155.24853515625
2012-08-02,1587.4000244140625,2110.810546875
2012-08-03,1606.0,2110.810546875
2012-08-06,1612.9000244140625,2155.24853515625
2012-08-07,1609.699951171875,2155.24853515625
2012-08-08,1612.9000244140625,2133.029296875
2012-08-09,1617.0999755859375,2155.24853515625
2012-08-10,1619.699951171875,2110.810546875
2012-08-13,1609.5999755859375,2044.1531982421875
2012-08-14,1599.4000244140625,2021.9344482421875
2012-08-15,1603.699951171875,1999.715087890625
2012-08-16,1616.0999755859375,2044.1531982421875
2012-08-17,1616.300048828125,
2012-08-20,1620.0999755859375,
2012-08-21,1639.9000244140625,
2012-08-22,1637.4000244140625,
2012-08-23,1669.5999755859375,2155.24853515625
2012-08-24,1669.800048828125,2133.029296875
2012-08-27,1672.4000244140625,2133.029296875
2012-08-28,1666.5,2133.029296875
2012-08-29,1659.800048828125,2088.59130859375
2012-08-30,1653.5,2044.1531982421875
2012-08-31,1684.5999755859375,2044.1531982421875
2012-09-03,,2066.3720703125
2012-09-04,1692.9000244140625,2021.9344482421875
2012-09-05,1690.800048828125,1999.715087890625
2012-09-06,1702.5999755859375,2044.1531982421875
2012-09-07,1737.5,2021.9344482421875
2012-09-10,1728.699951171875,2110.810546875
2012-09-11,1731.800048828125,2110.810546875
2012-09-12,1730.5999755859375,2288.562744140625
2012-09-13,1769.0999755859375,2221.9052734375
2012-09-14,1769.800048828125,2377.438720703125
2012-09-17,1767.699951171875,2444.09619140625
2012-09-18,1768.4000244140625,2444.09619140625
2012-09-19,1769.0,2666.28662109375
2012-09-20,1767.699951171875,2644.06787109375
2012-09-21,1775.5,2710.724609375
2012-09-24,1762.0999755859375,2532.97216796875
2012-09-25,1763.800048828125,2621.848388671875
2012-09-26,1750.5999755859375,2577.410400390625
2012-09-27,1777.5999755859375,2621.848388671875
2012-09-28,1771.0999755859375,2621.848388671875
2012-10-01,1780.5,2555.19140625
2012-10-02,1772.699951171875,2577.410400390625
2012-10-03,1777.300048828125,2532.97216796875
2012-10-04,1794.0999755859375,2466.315185546875
2012-10-05,1778.5999755859375,2532.97216796875
2012-10-08,1773.5,2444.09619140625
2012-10-09,1763.0,2399.657958984375
2012-10-10,1763.199951171875,2355.219970703125
2012-10-11,1768.800048828125,2288.562744140625
2012-10-12,1758.0,2288.562744140625
2012-10-15,1736.0,2377.438720703125
2012-10-16,1744.699951171875,2355.219970703125
2012-10-17,1751.5,2355.219970703125
2012-10-18,1743.300048828125,2377.438720703125
2012-10-19,1722.800048828125,2377.438720703125
2012-10-22,1725.0999755859375,2310.781494140625
2012-10-23,1708.300048828125,2266.34375
2012-10-24,1700.5,2266.34375
2012-10-25,1712.0,2266.34375
2012-10-26,1710.9000244140625,
2012-10-29,,2221.9052734375
2012-10-30,,2333.0009765625
2012-10-31,1717.5,2399.657958984375
2012-11-01,1714.0999755859375,2399.657958984375
2012-11-02,1674.0999755859375,2421.877197265625
2012-11-05,1682.199951171875,2355.219970703125
2012-11-06,1714.0999755859375,2333.0009765625
2012-11-07,1713.199951171875,2355.219970703125
2012-11-08,1725.4000244140625,2310.781494140625
2012-11-09,1730.300048828125,2288.562744140625
2012-11-12,1730.300048828125,2288.562744140625
2012-11-13,1724.199951171875,2310.781494140625
2012-11-14,1729.5,2221.9052734375
2012-11-15,1713.300048828125,
2012-11-16,1714.300048828125,
2012-11-19,1734.0,2110.810546875
2012-11-20,1723.199951171875,2133.029296875
2012-11-21,1727.9000244140625,2044.1531982421875
2012-11-22,,2088.59130859375
2012-11-23,1751.300048828125,2088.59130859375
2012-11-26,1749.5,2044.1531982421875
2012-11-27,1742.199951171875,1955.2772216796875
2012-11-28,1716.5,1844.181640625
2012-11-29,1727.199951171875,1933.057861328125
2012-11-30,1710.9000244140625,1844.181640625
